"acc","classifier","method"
"0.585","ANN","chi2"
"0.56","ANN","entropy"
"0.54","ANN","sbs"
"0.593333333333","ANN","sfs"
"0.59038634956","ANN","chi2"
"0.836188219993","ANN","entropy"
"0.553498885173","ANN","sbs"
"0.505143874644","ANN","sfs"
"0.635238095238","ANN","chi2"
"0.900324675325","ANN","entropy"
"0.591666666667","ANN","sbs"
"0.591515151515","ANN","sfs"
"0.712418300654","ANN","chi2"
"0.617973856209","ANN","entropy"
"0.741503267974","ANN","sbs"
"0.682679738562","ANN","sfs"
"0.623333333333","CART","chi2"
"0.613333333333","CART","entropy"
"0.701666666667","CART","sbs"
"0.701666666667","CART","sfs"
"0.736514430819","CART","chi2"
"0.840034373839","CART","entropy"
"0.696499194847","CART","sbs"
"0.696499194847","CART","sfs"
"0.938463203463","CART","chi2"
"0.943463203463","CART","entropy"
"0.933246753247","CART","sbs"
"0.938463203463","CART","sfs"
"0.976797385621","CART","chi2"
"0.977124183007","CART","entropy"
"0.959477124183","CART","sbs"
"0.965032679739","CART","sfs"
"0.746666666667","NB","chi2"
"0.721666666667","NB","entropy"
"0.51","NB","sbs"
"0.51","NB","sfs"
"0.751817106404","NB","chi2"
"0.553442586399","NB","entropy"
"0.722046451133","NB","sbs"
"0.722046451133","NB","sfs"
"0.932792207792","NB","chi2"
"0.932792207792","NB","entropy"
"0.92803030303","NB","sbs"
"0.92803030303","NB","sfs"
"0.965032679739","NB","chi2"
"0.976797385621","NB","entropy"
"0.965359477124","NB","sbs"
"0.965359477124","NB","sfs"
"0.593333333333","SVM","chi2"
"0.593333333333","SVM","entropy"
"0.593333333333","SVM","sbs"
"0.56","SVM","sfs"
"0.748946983773","SVM","chi2"
"0.840034373839","SVM","entropy"
"0.754981667286","SVM","sbs"
"0.754981667286","SVM","sfs"
"0.919155844156","SVM","chi2"
"0.919177489177","SVM","entropy"
"0.937792207792","SVM","sbs"
"0.899415584416","SVM","sfs"
"0.65522875817","SVM","chi2"
"0.65522875817","SVM","entropy"
"0.935620915033","SVM","sbs"
"0.935620915033","SVM","sfs"
